UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/12/13T16:51:15z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,56,74,1011.74,0.02,26216,0,224,31.66,45.21,52.07,26.19,38.43,48.97,126,109,5406.16,1598.12,233.17,38.95,9.12,4.29,31.14,45.12,49.5,26.07,38.54,47.43,126,110,5418.32,1581.82,253.8,29.98,6.2,2.43,162.91
2023/12/13T16:53:22z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,55,74,1011.68,0.02,24248,-45,355,29.45,40.08,44.38,24.92,35.62,43.77,113,103,5115.35,1494.1,204.63,23.53,6.02,2.62,29.91,42.02,45.17,25.27,36.76,44.3,118,105,5207.41,1527.24,236.12,22.74,4.29,1.21,130.84
2023/12/13T16:55:07z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,53,73,1011.65,nan,25312,-55,102,29.62,41.4,47.28,25.34,36.47,45.98,117,105,5035.4,1477.15,224.89,32.34,7.81,2.89,29.6,41,44.69,25.21,36.14,44.02,116,104,5074.71,1484.67,233.81,25.19,5.62,1.21,nan
2023/12/13T16:57:07z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,94,52,74,1011.66,0.02,12160,-57,222,27.56,40.14,46.12,23.75,35.58,45.05,114,102,4796.16,1414.74,214.28,36.07,8.46,3.61,28.1,38.03,41.2,24.2,34.51,41.1,108,99,4768.98,1395.25,211.8,18.34,4.31,1.97,81.58
2023/12/13T16:59:07z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,94,52,73,1011.66,0.02,12160,-51,342,27.54,38.71,43.71,23.82,34.89,43.29,110,100,4740.11,1395.64,193.57,31.21,7.02,2.12,27.09,37.55,41.4,23.48,34.09,41.33,107,98,4645.71,1361.24,206.76,24.02,6.28,1.6,71.17
2023/12/13T17:01:07z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,94,51,73,1011.63,0.02,12160,-52,462,26.08,37.65,42.88,22.83,34.02,42.47,107,98,4627,1357.03,192.63,31.67,7.13,3.7,26.67,37.05,40.12,23.51,33.96,40.04,106,98,4490.74,1328.77,205.58,21.54,4.89,1.32,64.78
2023/12/13T17:03:07z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,95,50,73,1011.61,0.02,12160,-55,582,26.1,34.97,41.07,22.98,32.51,40.92,100,95,4504.27,1326.24,176.44,26.98,7.46,3.88,26.07,33.3,35.71,23.12,31.62,35.71,96,93,4492.71,1308.96,179.75,8.52,3.61,1.25,59.65
2023/12/13T17:05:07z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,94,51,73,1011.63,0.02,12160,-52,702,24.81,32.68,38.58,22.35,31.19,38.58,95,92,4326.95,1255.47,171.89,22.23,8.25,3.88,25.66,33.68,36,22.81,31.93,36,97,93,4476.71,1303.49,180.31,13.07,3.39,0.75,69.68
2023/12/13T17:07:07z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,95,50,73,1011.62,0.02,12160,-51,822,24.44,32.44,37.95,22.21,31.07,37.91,95,92,4230.21,1224.46,175.19,21.91,7.32,2.91,25.22,33.64,36.39,22.75,31.88,36.39,97,93,4311.05,1266.98,189.76,13.34,4.05,1.22,62.06
2023/12/13T17:09:07z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,95,51,74,1011.55,0.02,12160,-51,942,25.49,34.1,39.34,22.76,32.19,39.34,98,94,4429.22,1292.98,166.95,20.81,6.88,3.2,24.77,33.7,36.14,22.47,31.93,36.14,97,93,4209.68,1243.16,176.42,18.7,3.79,0.84,70.22
2023/12/13T17:11:07z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,95,50,73,1011.51,0.02,12160,-54,1062,25.25,34.22,37.34,22.71,32.2,37.34,98,94,4345.02,1278.95,165.69,23.37,4.49,1.51,24.07,32.44,33.89,22.2,31.2,33.89,95,92,4109.89,1208.47,175.02,12.02,1.93,0.35,65.78
2023/12/13T17:13:07z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,95,50,73,1011.44,0.02,12160,-53,1182,24.68,35.54,40.72,22.49,32.96,40.61,102,96,4331.89,1267.09,177.37,30.74,7.16,3.11,25.1,33.24,34.72,22.67,31.74,34.72,96,93,4364.07,1265.21,177.17,11.72,2.17,0.64,68.34
