UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2024/02/24T01:38:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,86,45,62,1013.00,nan,26416,-53,101,2.95,6.11,7.57,2.95,6.11,7.57,25,25,672.41,195.41,39.18,10.23,2.23,1.00,2.98,5.42,7.98,2.98,5.42,7.98,23,23,656.37,192.74,41.28,8.12,3.40,1.91,nan
2024/02/24T01:40:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,87,43,61,1012.98,0.02,12216,-51,221,3.04,5.95,7.71,3.04,5.95,7.71,25,25,736.93,221.82,38.95,10.25,3.07,1.07,2.64,5.28,6.78,2.64,5.28,6.78,22,22,765.83,219.03,40.12,6.71,2.29,0.62,78.03
2024/02/24T01:42:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,88,42,62,1012.95,0.02,12216,-54,341,3.50,5.24,6.41,3.50,5.24,6.41,22,22,760.55,230.07,38.95,5.03,1.60,0.43,3.22,5.14,5.95,3.22,5.14,5.95,21,21,772.98,231.69,36.36,3.03,1.42,0.20,85.09
2024/02/24T01:44:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,88,41,61,1012.89,0.02,12216,-52,461,3.03,4.88,5.49,3.03,4.88,5.49,20,20,715.83,208.98,30.53,3.51,0.97,0.66,2.82,3.93,4.91,2.82,3.93,4.91,16,16,738.11,212.46,31.38,1.96,1.52,0.29,85.69
2024/02/24T01:46:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,89,40,61,1012.88,0.02,12216,-52,581,2.58,4.68,5.71,2.58,4.68,5.71,19,19,705.76,207.22,34.15,4.88,1.12,0.86,2.74,4.47,5.24,2.74,4.47,5.24,19,19,722.07,213.45,33.66,2.86,1.10,0.57,85.13
2024/02/24T01:48:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,89,40,61,1012.92,0.02,12216,-51,701,3.32,5.54,7.35,3.32,5.54,7.35,23,23,747.16,220.88,36.16,7.04,2.33,1.23,3.48,5.58,6.82,3.48,5.58,6.82,23,23,767.70,224.03,43.08,4.53,1.60,0.83,85.21
2024/02/24T01:50:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,90,39,62,1012.92,0.02,12216,-51,821,3.05,4.56,5.51,3.05,4.56,5.51,19,19,670.21,198.74,31.30,3.53,1.39,0.51,3.19,4.80,6.51,3.19,4.80,6.51,20,20,751.42,214.71,33.97,4.49,2.46,1.41,84.68
2024/02/24T01:52:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,90,39,61,1012.89,0.02,12216,-49,941,3.22,4.86,6.83,3.22,4.86,6.83,20,20,700.88,205.73,33.53,5.02,2.53,1.64,3.11,4.32,5.23,3.11,4.32,5.23,18,18,709.18,207.29,33.93,2.48,1.25,0.38,83.81
2024/02/24T01:54:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,90,38,61,1012.92,0.02,12216,-53,1061,2.73,4.92,6.72,2.73,4.92,6.72,20,20,712.40,205.90,37.95,7.55,1.93,1.37,2.98,4.35,5.63,2.98,4.35,5.63,18,18,710.32,211.96,31.84,3.44,1.56,0.61,83.33
2024/02/24T01:56:36z,c4:5b:be:ea:b5:3,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,91,38,62,1012.93,0.02,12216,-51,1181,2.88,4.55,5.96,2.88,4.55,5.96,19,19,683.25,198.29,30.79,4.30,1.91,0.91,3.08,4.95,5.98,3.08,4.95,5.98,21,21,725.60,209.70,37.15,4.27,0.98,0.47,83.23
