time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,0.3_um_count,0.5_um_count,1.0_um_count,2.5_um_count,5.0_um_count,10.0_um_count,pm1.0_atm,pm10.0_atm,id,date_time_utc
1709622932,1872,173211,41.0,89.0,2.0,681.5450000000001,108.79,23.345,6.93,3.605,0.055,0.56,4.165,173211,2024-03-05 07:15:32
1709623053,1872,173211,38.5,90.0,2.4,1169.7,132.95,19.55,6.484999999999999,2.355,0.475,0.875,3.835,173211,2024-03-05 07:17:33
1709623172,1872,173211,37.5,91.0,4.8,3148.985,250.045,18.005000000000003,3.615,1.535,0.375,2.92,4.95,173211,2024-03-05 07:19:32
1709623292,1872,173211,36.5,91.5,1.4,366.085,94.17,14.735,2.63,1.095,0.355,0.635,2.14,173211,2024-03-05 07:21:32
1709623412,1872,173211,36.0,92.0,1.6,377.015,96.44,17.375,2.9850000000000003,1.785,0.43,0.525,2.42,173211,2024-03-05 07:23:32
1709623532,1872,173211,35.5,92.5,3.3,2261.58,154.09,11.255,2.605,1.405,0.505,1.59,3.1750000000000003,173211,2024-03-05 07:25:32
1709623652,1872,173211,35.0,93.0,1.4,383.895,95.675,16.22,4.37,2.68,1.05,0.6799999999999999,3.145,173211,2024-03-05 07:27:32
1709623772,1872,173211,35.0,93.0,1.4,364.085,87.075,13.915,2.64,1.06,0.435,0.515,2.005,173211,2024-03-05 07:29:32
1709623892,1872,173211,34.5,93.5,1.7,561.675,100.61,16.965,3.145,1.405,0.645,0.655,2.425,173211,2024-03-05 07:31:32
1709624012,1872,173211,34.0,93.5,3.3,1786.39,191.08,18.81,4.27,2.58,0.38,1.84,4.295,173211,2024-03-05 07:33:32
1709624133,1872,173211,34.0,94.0,2.1,894.745,133.43,13.65,2.135,1.025,0.435,0.96,2.28,173211,2024-03-05 07:35:33
1709624252,1872,173211,33.0,94.0,2.0,723.725,110.44,17.075,2.72,0.925,0.19,0.455,1.95,173211,2024-03-05 07:37:32
1709624372,1872,173211,33.0,94.0,2.3,1251.895,108.98,13.08,2.165,0.83,0.175,0.66,1.85,173211,2024-03-05 07:39:32
1709624492,1872,173211,33.0,94.5,1.8,749.6700000000001,102.57,16.04,3.645,2.28,0.8899999999999999,0.51,2.88,173211,2024-03-05 07:41:32
1709624612,1872,173211,33.0,94.5,1.7,608.39,103.065,15.075,3.695,1.69,0.29,0.62,2.6100000000000003,173211,2024-03-05 07:43:32
1709624732,1872,173211,33.0,94.5,1.8,517.76,100.855,17.65,2.76,1.045,0.42,0.375,2.185,173211,2024-03-05 07:45:32
