time_stamp,group_id,member_id,pm1.0_atm,id,date_time_utc
1709622932,1872,173211,0.56,173211,2024-03-05 07:15:32
1709623053,1872,173211,0.875,173211,2024-03-05 07:17:33
1709623172,1872,173211,2.92,173211,2024-03-05 07:19:32
1709623292,1872,173211,0.635,173211,2024-03-05 07:21:32
1709623412,1872,173211,0.525,173211,2024-03-05 07:23:32
1709623532,1872,173211,1.59,173211,2024-03-05 07:25:32
1709623652,1872,173211,0.6799999999999999,173211,2024-03-05 07:27:32
1709623772,1872,173211,0.515,173211,2024-03-05 07:29:32
1709623892,1872,173211,0.655,173211,2024-03-05 07:31:32
1709624012,1872,173211,1.84,173211,2024-03-05 07:33:32
1709624133,1872,173211,0.96,173211,2024-03-05 07:35:33
1709624252,1872,173211,0.455,173211,2024-03-05 07:37:32
1709624372,1872,173211,0.66,173211,2024-03-05 07:39:32
1709624492,1872,173211,0.51,173211,2024-03-05 07:41:32
1709624612,1872,173211,0.62,173211,2024-03-05 07:43:32
1709624732,1872,173211,0.375,173211,2024-03-05 07:45:32
1709624852,1872,173211,0.505,173211,2024-03-05 07:47:32
1709624972,1872,173211,0.395,173211,2024-03-05 07:49:32
1709625092,1872,173211,0.3,173211,2024-03-05 07:51:32
1709625212,1872,173211,0.42,173211,2024-03-05 07:53:32
1709625332,1872,173211,0.635,173211,2024-03-05 07:55:32
1709625452,1872,173211,0.5650000000000001,173211,2024-03-05 07:57:32
1709625572,1872,173211,0.45,173211,2024-03-05 07:59:32
1709625692,1872,173211,0.465,173211,2024-03-05 08:01:32
1709625812,1872,173211,0.395,173211,2024-03-05 08:03:32
1709625932,1872,173211,0.49,173211,2024-03-05 08:05:32
1709626055,1872,173211,0.67,173211,2024-03-05 08:07:35
1709626172,1872,173211,0.58,173211,2024-03-05 08:09:32
1709626292,1872,173211,0.5700000000000001,173211,2024-03-05 08:11:32
1709626412,1872,173211,0.66,173211,2024-03-05 08:13:32
1709626533,1872,173211,0.4,173211,2024-03-05 08:15:33
1709626653,1872,173211,0.38,173211,2024-03-05 08:17:33
1709626773,1872,173211,0.515,173211,2024-03-05 08:19:33
1709626893,1872,173211,0.835,173211,2024-03-05 08:21:33
1709627013,1872,173211,0.605,173211,2024-03-05 08:23:33
1709627133,1872,173211,0.5,173211,2024-03-05 08:25:33
1709627253,1872,173211,0.685,173211,2024-03-05 08:27:33
1709627373,1872,173211,0.8700000000000001,173211,2024-03-05 08:29:33
1709627493,1872,173211,0.455,173211,2024-03-05 08:31:33
1709627613,1872,173211,0.74,173211,2024-03-05 08:33:33
1709627733,1872,173211,0.49,173211,2024-03-05 08:35:33
1709627854,1872,173211,0.45,173211,2024-03-05 08:37:34
1709627973,1872,173211,0.315,173211,2024-03-05 08:39:33
1709628093,1872,173211,0.425,173211,2024-03-05 08:41:33
1709628213,1872,173211,0.48,173211,2024-03-05 08:43:33
1709628333,1872,173211,0.78,173211,2024-03-05 08:45:33
1709628453,1872,173211,0.745,173211,2024-03-05 08:47:33
1709628573,1872,173211,0.675,173211,2024-03-05 08:49:33
1709628693,1872,173211,0.505,173211,2024-03-05 08:51:33
1709628813,1872,173211,0.5700000000000001,173211,2024-03-05 08:53:33
1709628933,1872,173211,0.545,173211,2024-03-05 08:55:33
