time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm1.0_atm,pm10.0_atm,date_time_utc
1712498413,1872,173210,41.0,89.5,2.8,3.505,4.905,2024-04-07 14:00:13+00:00
1712498534,1872,173210,41.0,89.5,2.3,2.955,4.045,2024-04-07 14:02:14+00:00
1712498654,1872,173210,41.0,89.5,2.4,2.95,4.33,2024-04-07 14:04:14+00:00
1712498774,1872,173210,41.0,89.5,2.5,2.725,4.36,2024-04-07 14:06:14+00:00
1712498893,1872,173210,41.0,89.5,2.3,3.14,3.965,2024-04-07 14:08:13+00:00
1712499013,1872,173210,41.0,89.5,2.7,3.09,4.99,2024-04-07 14:10:13+00:00
1712499133,1872,173210,41.0,89.5,2.4,2.745,3.655,2024-04-07 14:12:13+00:00
1712499254,1872,173210,41.5,89.5,2.4,3.085,4.51,2024-04-07 14:14:14+00:00
1712499373,1872,173210,41.5,89.5,2.3,2.83,3.745,2024-04-07 14:16:13+00:00
1712499493,1872,173210,41.5,89.5,2.3,2.595,3.925,2024-04-07 14:18:13+00:00
1712499613,1872,173210,42.0,89.5,2.2,2.785,3.765,2024-04-07 14:20:13+00:00
1712499733,1872,173210,42.0,89.5,2.5,3.06,4.385,2024-04-07 14:22:13+00:00
1712499854,1872,173210,42.0,89.5,2.3,2.73,3.855,2024-04-07 14:24:14+00:00
1712499973,1872,173210,41.5,89.5,2.4,2.64,3.74,2024-04-07 14:26:13+00:00
1712500093,1872,173210,42.0,89.5,2.5,2.46,3.765,2024-04-07 14:28:13+00:00
1712500213,1872,173210,42.0,89.5,2.4,2.815,4.015,2024-04-07 14:30:13+00:00
1712500333,1872,173210,42.0,89.5,2.3,2.515,3.695,2024-04-07 14:32:13+00:00
1712500453,1872,173210,42.0,89.5,2.1,2.59,3.46,2024-04-07 14:34:13+00:00
1712500573,1872,173210,42.0,89.5,2.1,2.55,3.12,2024-04-07 14:36:13+00:00
1712500693,1872,173210,42.0,89.5,2.1,2.51,3.59,2024-04-07 14:38:13+00:00
1712500813,1872,173210,42.0,89.5,2.2,2.345,3.085,2024-04-07 14:40:13+00:00
1712500934,1872,173210,42.0,89.5,2.1,2.64,3.625,2024-04-07 14:42:14+00:00
1712501054,1872,173210,42.0,89.5,2.1,2.17,3.065,2024-04-07 14:44:14+00:00
1712501174,1872,173210,42.0,89.5,2.0,1.86,2.865,2024-04-07 14:46:14+00:00
1712501294,1872,173210,42.0,89.5,2.1,2.61,3.615,2024-04-07 14:48:14+00:00
1712501414,1872,173210,42.0,89.5,2.0,2.445,3.33,2024-04-07 14:50:14+00:00
1712501534,1872,173210,42.0,89.5,2.1,2.39,3.38,2024-04-07 14:52:14+00:00
1712501654,1872,173210,42.0,89.5,1.9,2.065,2.965,2024-04-07 14:54:14+00:00
1712501774,1872,173210,42.5,89.5,1.6,1.93,2.47,2024-04-07 14:56:14+00:00
1712501894,1872,173210,42.5,89.0,2.1,2.165,3.185,2024-04-07 14:58:14+00:00
1712502014,1872,173210,42.5,89.5,2.0,2.16,2.97,2024-04-07 15:00:14+00:00
1712502134,1872,173210,42.5,89.0,2.0,1.935,2.89,2024-04-07 15:02:14+00:00
1712502254,1872,173210,42.5,88.5,2.0,2.335,3.26,2024-04-07 15:04:14+00:00
1712502374,1872,173210,42.5,88.5,1.9,2.33,2.955,2024-04-07 15:06:14+00:00
1712502494,1872,173210,42.5,88.5,2.1,2.45,3.26,2024-04-07 15:08:14+00:00
1712502614,1872,173210,42.5,88.5,2.0,2.18,2.94,2024-04-07 15:10:14+00:00
1712502734,1872,173210,42.5,88.5,1.9,2.34,3.195,2024-04-07 15:12:14+00:00
1712502854,1872,173210,42.5,88.5,1.8,2.05,2.79,2024-04-07 15:14:14+00:00
1712502974,1872,173210,42.5,88.5,1.7,1.835,2.58,2024-04-07 15:16:14+00:00
1712503094,1872,173210,42.0,88.5,1.8,2.115,2.94,2024-04-07 15:18:14+00:00
1712503214,1872,173210,42.5,88.5,1.7,1.815,2.645,2024-04-07 15:20:14+00:00
1712503334,1872,173210,42.5,89.0,2.0,2.18,3.045,2024-04-07 15:22:14+00:00
1712503454,1872,173210,42.0,89.5,1.7,1.705,2.24,2024-04-07 15:24:14+00:00
1712503574,1872,173210,41.5,89.5,1.8,1.615,2.575,2024-04-07 15:26:14+00:00
1712503694,1872,173210,41.5,90.0,1.7,1.775,2.23,2024-04-07 15:28:14+00:00
1712503815,1872,173210,40.5,90.5,1.7,1.675,2.53,2024-04-07 15:30:15+00:00
1712503934,1872,173210,40.5,90.5,1.7,1.31,2.265,2024-04-07 15:32:14+00:00
1712504054,1872,173210,40.0,90.5,1.4,1.3,2.055,2024-04-07 15:34:14+00:00
1712504174,1872,173210,40.0,91.5,1.7,1.49,2.23,2024-04-07 15:36:14+00:00
1712504294,1872,173210,39.5,91.5,1.7,1.67,2.54,2024-04-07 15:38:14+00:00
1712504414,1872,173210,39.0,91.5,1.3,1.11,2.005,2024-04-07 15:40:14+00:00
1712504536,1872,173210,39.0,91.5,1.7,1.855,2.42,2024-04-07 15:42:16+00:00
1712504656,1872,173210,38.5,92.0,1.5,1.295,2.35,2024-04-07 15:44:16+00:00
